mode,thinking,concurrency,aggregate_tps,completed_requests,request_count,errors,capacity_limited_flag,effective_concurrency,max_running_reqs,ttft_p50_ms,itl_p50_ms,latency_p50_ms,user_tps_p50,accept_length,accept_rate,engine_steps_per_second,context_tokens,max_tokens,temperature,ignore_eos,reasoning_effort,disable_thinking
dflash2,none,8,1460.4774553917878,40,40,0,False,7.4,8,240.95370699978957,5.150267514173904,5481.0090890005085,194.16898972959768,4.056034482758621,0.43657635467980294,360.07520685536105,8192,1024,0.0,True,,True
dflash2,none,16,2539.909071523773,80,80,0,False,15.0,16,307.7682385001026,5.888180346039918,6408.954257500227,169.83175474221235,3.7280701754385963,0.38972431077694236,681.2932568322592,8192,1024,0.0,True,,True
dflash2,none,32,3524.7171170769516,160,160,0,False,30.7,32,732.2479180002119,8.397518887097128,9214.737464999416,119.08279263959773,3.8306288032454363,0.4043755433207766,920.1406082705518,8192,1024,0.0,True,,True
dflash2,none,64,4259.400715822306,320,320,0,True,57.7,63,1408.0254660002538,12.557896484849618,14368.065860499883,79.63117082004734,3.783333333333333,0.3976190476190476,1125.8327883230766,8192,1024,0.0,True,,True
dflash2,xhigh,1,212.16230316508737,5,5,0,False,0.9,1,153.67090099971392,4.522907847506812,4779.966459000207,221.09670011323257,2.275,0.18214285714285713,93.25815523740104,8192,1024,0.0,True,xhigh,False
dflash2,xhigh,2,419.8626853282436,10,10,0,False,1.8,2,167.1423705010966,4.487150866568592,4756.803240999943,222.85856804814847,2.5875,0.22678571428571428,162.26577210753376,8192,1024,0.0,True,xhigh,False
dflash2,xhigh,4,725.844950946213,20,20,0,False,3.7,4,172.98940399996354,5.156214250244994,5481.763985500038,193.94106396233113,2.335570469798658,0.19079578139980824,310.77844164076356,8192,1024,0.0,True,xhigh,False
dflash2,xhigh,8,1165.2762527024227,40,40,0,False,7.6,8,218.46932299922628,6.513998440372596,6879.839044000619,153.5155418297943,2.273356401384083,0.1819080573405833,512.579660625571,8192,1024,0.0,True,xhigh,False
dflash2,xhigh,16,2138.395216413526,80,80,0,False,14.6,16,456.0614625006565,6.765218606060773,7342.003246500099,147.81515858317516,2.22,0.1742857142857143,963.2410884745613,8192,1024,0.0,True,xhigh,False
dflash2,xhigh,32,3011.4667263981933,160,160,0,False,30.5,32,526.3201599991589,9.552100305962064,10414.936996001416,104.68901799900374,2.656641604010025,0.23666308628714644,1133.5615319178105,8192,1024,0.0,True,xhigh,False
dflash2,xhigh,64,3888.9037747405473,320,320,0,True,57.8,63,1356.8957719999162,13.58255070967664,15301.8068174988,73.62387386629433,5.129166666666666,0.5898809523809524,758.1940746854033,8192,1024,0.0,True,xhigh,False
dspark,low,1,169.48331880220147,5,5,0,False,0.9,1,149.91679299782845,5.738045035187948,6020.600478001143,174.27538366597105,1.9,0.12857142857142856,89.20174673800078,8192,1024,0.0,True,low,False
dspark,low,2,320.15074450877904,10,10,0,False,1.9,2,168.61904349934775,6.0117559638307085,6313.535368497469,166.36409765521933,1.847457627118644,0.12106537530266344,173.2926048258529,8192,1024,0.0,True,low,False
dspark,low,4,592.9290398823729,20,20,0,False,3.8,4,245.0206960002106,6.430088228250051,6761.251526999331,155.52184488222238,2.00625,0.14375,295.5409544585036,8192,1024,0.0,True,low,False
dspark,low,8,1013.1822679455763,40,40,0,False,7.6,8,220.81679349867045,7.5645310738024545,7967.242818500381,132.1959021931179,2.148014440433213,0.16400206291903044,471.68317348054563,8192,1024,0.0,True,low,False
dspark,low,16,1675.505310058748,80,80,0,False,15.9,27,425.81239199716947,9.0001381383195,9688.4635134993,111.10950014619485,2.109433962264151,0.15849056603773584,794.2914260564726,8192,1024,0.0,True,low,False
dspark,low,32,2371.174828960979,160,160,0,False,31.2,34,555.4315075005434,12.671034046921413,13757.658741998966,78.92015728962285,2.1460573476702507,0.16372247823860728,1104.8981666473708,8192,1024,0.0,True,low,False
dspark,low,64,2830.8569207899072,320,320,0,True,58.0,63,1332.4420354983886,19.52897230058693,21581.30525050001,51.20597154933844,2.1675,0.1667857142857143,1306.0470222790807,8192,1024,0.0,True,low,False
dspark,medium,1,173.89193960044125,5,5,0,False,0.9,1,151.20614400075283,5.601744157382232,5881.98455499878,178.51582862493902,2.575,0.225,67.53085033026844,8192,1024,0.0,True,medium,False
dspark,medium,2,356.90999524212754,10,10,0,False,1.9,2,239.8383814997942,5.376514587000004,5742.081492500802,185.9959205325176,3.15,0.30714285714285716,113.30476039432621,8192,1024,0.0,True,medium,False
dspark,medium,4,552.007303252854,20,20,0,False,3.7,4,159.95367899813573,7.085274475563945,7407.731495501139,141.13779272758364,2.0,0.14285714285714285,276.003651626427,8192,1024,0.0,True,medium,False
dspark,medium,8,963.8894530223233,40,40,0,False,7.3,8,208.08458049941692,7.960621092863038,8456.33169050052,125.63608888105438,2.358695652173913,0.19409937888198758,408.6535929864228,8192,1024,0.0,True,medium,False
dspark,medium,16,1536.4513853331762,80,80,0,False,15.2,16,275.6471659995441,9.892280603618264,10563.501316000838,101.0889237902114,1.7270029673590503,0.10385756676557864,889.663431026255,8192,1024,0.0,True,medium,False
dspark,medium,32,2500.4597944028774,160,160,0,False,30.8,55,644.710924501851,11.070551184263689,12027.828931999466,90.32974246072297,2.9,0.2714285714285714,862.227515311337,8192,1024,0.0,True,medium,False
dspark,medium,64,2936.2969912886383,320,320,0,True,58.7,64,1431.6781514989998,20.05150517839565,22383.404482001424,49.87156780774036,2.718637992831541,0.24551971326164876,1080.0617805794727,8192,1024,0.0,True,medium,False
dspark,none,1,162.58041512721704,5,5,0,False,0.9,1,149.1630839991558,6.006248834798435,6293.555641997955,166.49326851166984,2.775,0.25357142857142856,58.58753698278092,8192,1024,0.0,True,,True
dspark,none,2,283.9197990087066,10,10,0,False,1.9,2,168.12881300029403,6.800181159823468,7124.518730499403,147.05843418186325,2.328125,0.18973214285714285,121.95212843326995,8192,1024,0.0,True,,True
dspark,none,4,523.4553579576095,20,20,0,False,3.8,4,158.95603999888408,7.515212887585598,7845.467578501484,133.0634311043702,1.9375,0.13392857142857142,270.17050733295974,8192,1024,0.0,True,,True
dspark,none,8,960.7047473789296,40,40,0,False,7.7,8,305.8920435014443,8.060337114371526,8518.473428501238,124.06428990882239,2.43125,0.2044642857142857,395.1484822124132,8192,1024,0.0,True,,True
dspark,none,16,1509.6926754983574,80,80,0,False,15.1,17,280.0254619996849,10.112392313784147,10723.45234649947,98.88856849882802,2.4005449591280654,0.20007785130400935,628.8958137433566,8192,1024,0.0,True,,True
dspark,none,32,2198.801029668569,160,160,0,False,30.8,32,466.2554299993644,13.711254941348207,14346.078910999495,72.93278494929558,2.44311377245509,0.20615911035072712,899.999441065321,8192,1024,0.0,True,,True
dspark,none,64,2629.9406278666306,320,320,0,True,57.2,63,1416.9040910001058,20.975488055718063,22765.385370499644,47.67469522116291,2.165,0.16642857142857143,1214.7531768437093,8192,1024,0.0,True,,True
