run_id,profile,publication_status,model_id,model_revision,topology,mtp_tokens,input_tokens,target_output_tokens,duration_seconds,concurrency,aggregate_output_tokens_per_second,effective_concurrency,max_running_requests,saturation_observed,mtp_accept_length,engine_steps_per_second,median_ttft_seconds,median_itl_ms,num_errors,source_artifact_sha256,result_file
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,41.295154,1,123.98549346121582,0.9,1,false,0.0,0.0,0.2414327160004177,7.641116097750234,0,d83bfd90b3378f34c6432e4dbaf9b35ecccef09e427ecff96761cd3d47f0c261,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,45.968682,2,222.76035879305732,1.7,2,false,0.0,0.0,0.4287456909987668,8.564775004397005,0,425d443a594d98a760f97c87bf145a4dbd622b13542aac23282008aab0f4d9d2,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,61.840616,4,331.17393410331493,3.0,4,false,0.0,0.0,0.4206115669985593,9.117460867059112,0,91c6f518308c5789a98533018577fe5f91a95cbcced36d09927ede5696024d56,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,69.694755,8,587.7056306215425,5.8,8,false,0.0,0.0,0.6006485795005574,10.381656969696852,0,f0835aab967d04c6f1e344f5734d7e1fb3d16d9e4f49edeabac63920b46de0d5,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,94.91424,16,863.0949338889085,11.2,16,false,0.0,0.0,0.7860559795008157,12.845404947216606,0,9c1f2fcc9f231f2e36303a81dc2422fe8411bb6545dd130d46ad201ff67dac95,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,94.714305,32,1729.833742430233,30.4,32,false,0.0,0.0,1.0926519150016247,17.37987983382062,0,76548688e67b36ca1c2f088f7a7e01dfcb3b78afc0307ce2caced4f47621e633,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-mtp0-v1,NVFP4 TP2/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,156.008769,64,2100.394760635453,53.0,64,false,0.0,0.0,1.9883433809991402,21.43010894135024,0,3176d1383a9e028a314b83377a2374e9088ab8cf05fef66629ba1647630d53eb,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-dflash2-v1,NVFP4 TP2/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,25.864431,1,197.95525425811238,0.8,1,false,3.575,55.372099093178285,0.2545276050004759,4.773206262949869,0,3d08142cd756fabe4483882552a3e678f81bddfadbbfa32f0a05e0defa04ed92,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-dflash2-v1,NVFP4 TP2/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,30.430698,2,336.5023033775982,1.9,2,false,2.7875,120.71831511303971,0.25723423900126363,5.514588381231144,0,5704fed6f41ab7c20fc36fa3aee2f8e4ba61b2b72e598dc7ea69da91f7c093a0,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-dflash2-v1,NVFP4 TP2/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,39.894699,4,513.3514107305358,3.7,4,false,3.213793103448276,159.73380805993065,0.26210249650102924,7.307225441344246,0,0b376c3ef1d2ba775303576c285dd2c1de7e163b37322242e94666f50851a18d,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-dflash2-v1,NVFP4 TP2/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,50.789623,8,806.4639528478376,7.5,8,false,2.467391304347826,326.84882670485047,0.3475165689997084,9.293533029325886,0,09d2f5f30622aa3ec2afe4863a92f8b94ebae253432542a1f3c2f3e1fb85dc50,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-dflash2-v1,NVFP4 TP2/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,71.925922,16,1138.949595639626,15.1,16,false,2.4941176470588236,456.6543190064538,0.30144567349998397,13.504078101660586,0,996526f318b7bc50bc41a4e1b4abcf74e36682448546882e146670d217a45162,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-dflash2-v1,NVFP4 TP2/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,115.767448,32,1415.251024426854,30.8,33,false,2.6445086705202314,535.1659611493895,0.42273668800044106,21.87026069208059,0,6217f2c881dba0b9c42a3594fce12b8d9d329079c9c4da39e8c4d5043b6a701f,data/diagnostic-throughput.csv
glm53-nvfp4-tp2-dflash2-v1,NVFP4 TP2/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,cross_node_tp2,0,8192,1024,188.470866,64,1738.6241552277602,52.2,56,false,2.188679245283019,794.371381267856,2.111951020997367,29.802920951126534,0,e71bae049fc74ef19ca072ae86a755482dfdfc4baa2a95e457679236b0b0a861,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-ar-v1,NVFP4 TP1/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,40.531523,1,126.32143237463741,0.9,1,false,0.0,0.0,0.2111938329981058,7.155601021508028,0,170d8645598b3c4e76ff885a31304331b74e3bd343079d6389a672ba3a707728,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-ar-v1,NVFP4 TP1/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,43.346298,2,236.23701630730648,1.9,2,false,0.0,0.0,0.3804294725014188,8.081315830398287,0,041579e5a5e0664a0183f9b51cd73c966d091357d9f19a40adbb427518048b46,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-ar-v1,NVFP4 TP1/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,61.336672,4,333.8948655994162,3.0,4,false,0.0,0.0,0.36214761099836323,9.192971891494498,0,9bef5202bfead536d75564571c223cdc13e1c3892abe53e1ac1e5869382091bc,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-ar-v1,NVFP4 TP1/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,84.736054,8,483.3833804058477,5.2,8,false,0.0,0.0,0.5473086544989201,11.119731799118853,0,bc7e9783bea627e370aee32e9bf5ae103d654df0c7752038edae43a657e94afb,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-ar-v1,NVFP4 TP1/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,84.899188,16,964.9091053361498,12.4,14,false,0.0,0.0,0.6259736384999997,13.296135161779839,0,096918a02df4fd9e61e82186faa801af2432bc19fb4ff64bd4615fcb833ddfe3,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-ar-v1,NVFP4 TP1/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,175.375817,32,934.2223038870544,13.3,14,false,0.0,0.0,14.24655315599739,12.927714353861429,0,123caf1d1258560e6af48a7014abf4c7ef17d16c8d86624d96c193b219f710c3,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-ar-v1,NVFP4 TP1/AR,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,326.017455,64,1005.0995596642349,13.7,14,false,0.0,0.0,41.9286970280009,12.893819142229043,0,e4288cee85fe6123b7211cdaba823f3a6f2937a67ec46f0bbc2076364b68cee2,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-dflash2-v1,NVFP4 TP1/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,27.365831,1,187.0946264191168,0.8,1,false,1.925,97.19201372421651,0.21889070500037633,4.539020746820418,0,eabe43b3e80250aea7377bdc99ba7d44a536769b88fad877dfc4a1dbfb2a6936,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-dflash2-v1,NVFP4 TP1/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,29.996671,2,341.37121882498235,1.9,2,false,3.125,109.23879002399435,0.22581701800299925,5.589159841643887,0,d655b9db9531f5c8770a8bb252223a10e63f71dfaa8500feea827d735217866f,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-dflash2-v1,NVFP4 TP1/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,51.000363,4,401.5657718537755,2.7,4,false,2.8425925925925926,141.26743765539985,0.23892676049581496,7.245204791784753,0,fe065d909d0acad7311e96a73b9234d558c635effe38c308fa815b471cbca761,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-dflash2-v1,NVFP4 TP1/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,76.206674,8,537.4857297276545,3.7,4,false,2.6231884057971016,204.89787486855337,7.741924255002232,7.205246466276327,0,ce6c8c2022daf2671e88bf5945996d08a9d3d5e08c49ab6524281c616cc459c1,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-dflash2-v1,NVFP4 TP1/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,154.350002,16,530.7418120066765,3.8,4,false,2.45,216.62931102313323,23.254975939998985,7.345424816229594,0,9f983eb723df18b5c7d49ac2d2b43027befdc6a72880db7e4463fdad9baeec8f,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-dflash2-v1,NVFP4 TP1/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,315.012511,32,520.1063262764293,3.7,4,false,2.525,205.9827034758136,54.72983552599908,7.4337176363659445,0,092ed447257a03529a3842262e38c0408c21de89352d5c8ab9f3bd06b4cd5520,data/diagnostic-throughput.csv
glm53-nvfp4-tp1-dflash2-c64-v1,NVFP4 TP1/DFlash2,measured,LibertAIDAI/GLM-5.3-Flash-NVFP4,aa28e1f54130286c95fee10d0705c74ce8743734,single_node_tp1,0,8192,1024,639.097372,64,512.7231223081354,3.7,4,false,2.7,189.89745270671682,117.4544798019997,7.4401699105568815,0,e56bc61e85eef668446a523a66be1446bd24e9039ce1cb7e21354d8085a688da,data/diagnostic-throughput.csv
